case,TypeAcid,TotalDrivers,DeadPeople,Total_injuries,Unharmed,TypePlace,WeekDay,Month,HourNear,Motorcycle ,HeavyVehicle,LightVehicle,Vehicle,RoadType,Severity,DayOfYear,DayShift,Holidays,AccidentCause,AccidentClassification,DayPath ,WeatherCondition,Year,Latitude/Longitude
1,Collision with a car,4,2,2,0,Paved,Friday,1,5:00 AM,No,1,1,2,Paved,Yes,1,am,yes,Overspeed,with fatal victims,dawn,clear,2021,
2,Overturns,1,1,0,0,Paved,Friday,1,5:00 PM,No,1,0,1,Paved,Yes,1,pm,yes,Overspeed,with fatal victims,dusk,clear,2021,
3,Pedestrian run over,2,1,0,1,Paved,Friday,1,12:00 PM,No,0,1,1,Paved,Yes,1,pm,yes,Lack of focus,with fatal victims,midday,clear,2021,
4,Collision with a fixed object,2,0,2,0,Paved,Friday,1,12:00 PM,No,1,0,1,Paved,Yes,1,pm,yes,Overspeed,with injured victims,midday,clear,2021,
5,Collision with a fixed object,1,1,0,0,Paved,Saturday,1,7:30 PM,No,0,1,1,Paved,Yes,2,pm,yes,Overspeed,with fatal victims,dawn,clear,2021,
6,Collision with a car,3,2,0,1,Paved,Sunday,1,2:50 PM,No,0,3,3,Paved,Yes,3,pm,No,Irregular overtaking,with fatal victims,midday,clear,2021,
7,Overturns,1,0,1,0,Paved,Sunday,1,12:45 PM,No,0,1,1,Paved,Yes,3,pm,No,Overspeed,with injured victims,midday,clear,2021,
8,Collision with a fixed object,2,0,1,1,Paved,Monday,1,2:30 AM,No,0,1,1,Paved,Yes,4,am,No,Lack of focus,with injured victims,dawn,clear,2021,
9,Pedestrian run over,2,1,0,1,Paved,Monday,1,11:15 PM,No,0,1,1,Paved,Yes,4,pm,No,Lack of focus,with fatal victims,night,clear,2021,
10,Collision with a car,8,1,7,0,Paved,Monday,1,7:15 PM,No,1,1,2,Paved,Yes,4,pm,No,Lack of focus,with fatal victims,dusk,clear,2021,
11,Overturns,1,1,0,0,Paved,Tuesday,1,7:00 PM,No,1,0,1,Paved,Yes,5,pm,No,Lack of focus,with fatal victims,dusk,clear,2021,
12,Collision with a fixed object,1,0,1,0,Paved,Tuesday,1,2:05 AM,No,1,0,1,Paved,Yes,5,am,No,Lack of focus,with injured victims,dawn,clear,2021,
13,Collision with a car,2,0,2,2,Paved,Tuesday,1,7:30 PM,No,0,2,2,Paved,Yes,5,pm,No,Lack of focus,with injured victims,dusk,clear,2021,
14,Collision with a car,3,0,3,3,Paved,Wednesday,1,12:50 PM,No,0,2,2,Paved,Yes,6,pm,No,Irregular overtaking,with injured victims,midday,clear,2021,
15,Overturns,3,1,2,0,Paved,Wednesday,1,7:30 PM,No,0,1,1,Paved,Yes,6,pm,No,Lack of focus,with fatal victims,dusk,clear,2021,
16,Collision with a car,2,0,1,1,Paved,Wednesday,1,7:15 PM,No,0,2,2,Paved,Yes,6,pm,No,Overspeed,with injured victims,dusk,clear,2021,
17,Pedestrian run over,2,0,1,1,Paved,Wednesday,1,12:00 PM,No,0,1,1,Paved,Yes,6,pm,No,Lack of focus,with injured victims,midday,clear,2021,
18,Collision with a car,2,0,2,0,Paved,Wednesday,1,12:55 PM,No,0,2,2,Paved,Yes,6,pm,No,Overspeed,with injured victims,midday,clear,2021,
19,Pedestrian run over,2,1,0,1,Paved,Wednesday,1,2:30 PM,No,1,0,1,Paved,Yes,6,pm,No,Lack of focus,with fatal victims,midday,clear,2021,
20,Overturns,2,0,1,1,Paved,Thursday,1,3:35 PM,No,0,1,1,Paved,Yes,7,pm,No,Overspeed,with injured victims,midday,clear,2021,
21,Collision with a car,6,6,0,0,Paved,Thursday,1,3:00 PM,No,1,5,6,Paved,Yes,7,pm,No,Overspeed,with fatal victims,midday,clear,2021,
22,Collision with a car,12,3,2,7,Paved,Thursday,1,3:35 PM,No,1,3,4,Paved,Yes,7,pm,No,Irregular overtaking,with fatal victims,midday,clear,2021,
23,Pedestrian run over,2,1,0,1,Paved,Friday,1,10:35 PM,No,0,1,1,Paved,Yes,8,pm,yes,Overspeed,with fatal victims,morning,clear,2021,
